valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
0,0,20,0,0,1,20,2,1
1,7305,42,0,0,0,12,2,0
0,0,155,0,0,0,14,1,1
0,0,35,0,0,0,18,3,0
1,730,79,0,0,1,14,1,1
1,1096,21,0,0,0,17,1,1
1,12053,40,0,0,0,19,2,0
0,0,50,0,0,0,20,3,0
0,0,24,0,0,0,15,3,0
1,6210,27,0,0,0,13,2,0
0,0,36,0,0,0,11,2,0
0,0,54,0,0,0,13,1,1
1,9133,27,0,0,0,14,2,0
1,3651,101,0,0,0,27,3,1
1,12783,40,0,0,0,12,2,0
0,0,27,0,0,0,20,3,0
1,10591,43,0,0,0,32,2,0
1,9133,27,0,0,0,14,2,0
1,9496,31,0,0,0,20,2,0
1,6940,19,0,0,0,13,2,0
1,9496,40,0,0,0,24,2,0
1,1827,44,0,0,0,28,3,1
1,9133,27,0,0,0,13,2,0
1,5479,55,0,1,0,15,1,1
1,9133,26,0,0,0,14,2,0
1,9133,27,0,0,0,14,2,0
0,0,95,0,0,1,39,5,1
1,1095,283,0,0,1,75,7,1
1,7671,36,0,0,0,22,2,0
1,3653,54,0,0,0,25,2,1
1,1827,173,0,0,0,22,2,1
1,6939,343,0,0,1,44,2,1
0,0,27,0,0,0,12,2,0
1,3653,27,0,0,0,26,3,1
1,9495,22,0,0,0,14,2,0
0,0,153,0,0,1,119,10,1
0,0,74,0,0,0,15,3,1
1,5113,104,0,0,0,15,2,1
0,0,83,0,0,0,28,3,1
1,7305,34,0,0,0,14,2,0
0,0,43,0,0,0,20,3,0
1,8035,28,0,0,0,22,2,0
1,4017,97,0,0,0,13,2,1
1,11322,39,0,0,0,16,2,1
1,9133,27,0,0,0,14,2,0
1,366,51,0,0,0,22,1,1
0,0,91,0,0,0,17,2,1
0,0,103,0,0,0,33,6,1
0,0,178,0,0,1,170,11,1
0,0,165,0,0,1,133,7,1
1,6574,61,0,0,0,25,3,1
0,0,153,0,0,0,19,1,1
0,0,28,0,0,0,23,1,1
1,8035,27,0,0,0,16,2,0
0,0,44,0,0,0,8,2,1
1,5478,61,0,0,0,18,3,1
1,2192,79,0,0,0,13,1,1
0,0,84,0,0,0,15,3,1
1,10228,36,0,0,0,21,3,0
1,7305,35,0,0,0,34,2,1
1,10591,26,0,0,0,16,2,0
1,5844,99,0,0,0,20,2,1
0,0,145,0,0,1,111,10,1
1,6210,54,0,0,0,20,2,0
0,0,35,0,0,0,16,1,1
1,8035,46,0,0,0,17,2,0
1,366,32,0,0,0,15,2,1
1,6940,38,0,0,0,15,2,0
1,9861,64,0,0,0,21,2,0
1,5844,85,0,0,0,12,1,0
1,3653,76,0,0,0,25,2,1
1,3653,121,0,0,0,12,2,1
1,7304,72,0,0,0,14,2,1
1,9133,26,0,0,0,14,2,0
1,10959,42,0,0,0,17,2,0
1,8035,46,0,0,0,17,2,0
0,0,170,0,0,0,26,2,1
1,4017,33,0,0,0,13,1,1
1,366,43,0,0,0,23,2,1
1,3288,71,0,0,1,70,6,1
0,0,76,0,0,0,27,1,1
1,6939,369,0,0,1,44,2,1
0,0,107,0,0,0,14,1,1
1,9862,19,0,0,0,11,1,1
0,0,76,0,0,0,27,1,1
1,731,94,0,0,0,15,2,1
1,7305,54,0,0,0,15,2,0
0,0,44,0,0,0,16,2,0
1,7671,18,0,0,0,11,1,0
0,0,47,0,0,0,15,2,0
0,0,60,0,0,0,18,2,1
0,0,50,0,0,0,23,2,1
0,0,113,0,0,0,11,1,1
1,4749,18,0,0,0,17,2,1
1,7305,38,0,0,0,17,2,0
0,0,356,0,0,1,201,12,1
0,0,63,0,0,0,28,3,1
0,0,30,0,0,0,23,1,1
1,366,92,0,0,0,12,1,1
1,6575,51,0,0,0,18,2,0
0,0,123,0,0,1,31,2,1
1,11322,34,0,0,0,17,2,0
1,10226,31,0,0,0,10,2,0
1,4017,33,0,0,0,13,1,1
1,12419,31,0,0,0,12,2,0
1,6940,48,0,0,1,23,2,0
0,0,41,0,0,0,17,3,0
1,8035,29,0,0,0,18,2,0
1,6574,125,0,0,0,19,2,1
0,0,44,0,0,0,19,2,1
1,9132,21,0,0,0,15,1,0
0,0,65,0,0,0,17,3,0
1,12419,51,0,0,0,11,2,0
0,0,64,0,0,0,16,3,1
0,0,57,0,0,1,14,2,1
1,8400,128,0,0,0,17,2,0
0,0,49,0,0,0,26,2,1
1,5113,19,0,0,0,18,2,1
0,0,52,0,0,0,18,3,0
0,0,73,0,0,0,20,2,1
1,1460,19,0,0,0,9,1,0
0,0,35,0,0,0,18,2,0
1,5844,34,0,0,0,18,2,1
